,rule,"((0,), (1,))","((0,),)","((1,),)","((0, 1),)"
0,0,0.0,0.0,0.0,0.0
1,1,0.10375937481971094,0.2075187496394219,0.2075187496394219,0.29248125036057826
2,2,0.10375937481971094,0.2075187496394219,0.2075187496394219,0.29248125036057826
3,3,0.0,1.0,0.0,0.0
4,4,0.10375937481971094,0.2075187496394219,0.2075187496394219,0.29248125036057815
5,5,0.0,0.0,1.0,0.0
6,6,0.0,0.0,0.0,1.0
7,7,0.10375937481971094,0.20751874963942185,0.20751874963942185,0.29248125036057815
8,8,0.10375937481971094,0.2075187496394219,0.2075187496394219,0.29248125036057815
9,9,0.0,0.0,0.0,1.0
10,10,0.0,0.0,1.0,0.0
11,11,0.10375937481971094,0.20751874963942185,0.2075187496394219,0.29248125036057815
12,12,0.0,1.0,0.0,0.0
13,13,0.10375937481971094,0.2075187496394219,0.20751874963942185,0.29248125036057826
14,14,0.10375937481971094,0.2075187496394219,0.2075187496394219,0.29248125036057826
15,15,0.0,0.0,0.0,0.0
